	A1	A2	A3	B1	B2	B3	C1	C2	C3
gene_131	531	605	362	178	133	184	108	101	136
gene_132	191	204	201	66	32	44	39	34	62
gene_133	63	93	28	14	7	46	17	48	9
gene_134	92	33	103	31	27	17	27	9	10
gene_135	567	23	1	0	5	0	46	0	0
gene_136	93	85	115	11	52	27	14	34	15
gene_137	197	159	96	52	36	14	20	26	31
gene_138	579	602	857	371	191	206	228	240	266
gene_139	65	28	106	33	25	15	17	13	7
gene_140	159	239	94	5	33	13	20	16	43
gene_141	0	2	11	0	2	0	14	11	2
gene_142	1	5	0	0	0	3	0	1	0
gene_143	89	18	26	4	13	17	8	2	4
gene_144	109	16	52	14	12	19	0	16	9
gene_145	0	7	8	6	0	8	1	4	1
gene_146	209	268	141	54	37	37	19	21	56
gene_147	3	12	5	11	1	5	3	0	0
gene_148	203	176	144	74	67	60	47	92	70
gene_149	6781	4554	5321	1643	1724	1418	1747	1402	1426
gene_150	3567	1076	3727	388	687	1096	513	367	802
gene_151	7	40	14	5	3	2	11	0	2
gene_152	63	62	75	11	11	31	20	10	7
gene_153	204	193	130	44	27	34	38	49	60
gene_154	5	2	21	2	8	1	0	0	0
gene_155	4	5	1	2	7	0	1	0	0
gene_156	32	42	29	10	8	16	16	14	9
gene_157	432	29	163	5	22	214	0	161	23
gene_158	221	35	59	26	21	20	34	8	12
gene_159	18	9	10	7	1	1	1	11	0
gene_160	993	957	753	186	199	221	107	248	152
gene_161	24	3	0	2	0	3	1	2	0
gene_162	448	530	628	244	67	195	186	193	251
gene_163	2076	1181	1815	588	538	529	399	455	341
gene_164	89	127	100	9	8	10	3	23	29
gene_165	4	13	3	1	1	0	3	1	1
gene_166	22	15	24	6	4	6	5	4	7
gene_167	44	8	35	1	0	3	15	11	4
gene_168	122	59	108	41	23	39	32	34	44
gene_169	307	253	566	50	119	75	122	101	42
gene_170	330	86	138	52	40	53	41	61	8
gene_171	1875	1723	2152	505	458	599	525	413	647
gene_172	155	200	189	49	40	63	47	60	50
gene_173	130	91	118	12	13	33	13	8	45
gene_174	223	242	271	71	102	63	49	81	40
gene_175	0	5	5	3	14	25	0	4	1
gene_176	192	214	214	54	46	55	41	50	77
gene_177	334	781	739	130	175	81	218	146	101
gene_178	28	12	4	5	9	10	8	3	3
gene_179	6	2	2	0	0	0	1	1	0
gene_180	21	30	26	10	2	0	1	19	5
gene_181	167	160	101	57	18	47	10	25	17
gene_182	7	9	9	2	1	1	0	0	9
gene_183	49	16	22	13	17	7	6	10	10
gene_184	1005	1149	1819	370	186	257	316	330	301
gene_185	1273	2835	10179	120	3415	5	573	145	103
gene_186	239	270	240	51	59	57	71	48	75
gene_187	188	23	24	4	18	16	36	10	42
gene_188	70	51	73	15	12	28	20	14	11
gene_189	570	670	534	158	144	130	141	134	156
gene_190	1	0	0	0	7	0	3	2	0
gene_191	85	129	21	27	17	131	36	13	19
gene_192	109	105	125	27	14	16	34	22	38
gene_193	12	8	13	1	3	3	2	4	7
gene_194	190	53	262	38	33	33	51	44	26
gene_195	103	64	77	42	14	43	11	1	46
gene_196	14	0	0	0	1	0	0	0	1
gene_197	23	17	6	2	2	0	1	0	5
gene_198	526	326	795	107	144	151	92	156	77
gene_199	385	249	128	82	132	82	58	60	69
gene_200	5	5	0	0	0	0	1	0	2
gene_201	105	51	13	7	21	1	0	28	40
gene_202	35	28	67	17	11	24	11	16	9
gene_203	405	281	464	106	81	144	72	59	138
gene_204	0	26	1	1	0	1	0	1	0
gene_205	7	6	1	6	1	0	2	0	2
gene_206	216	178	188	68	49	58	62	48	45
gene_207	50	84	146	18	14	14	17	4	22
gene_208	4	0	8	1	0	1	1	0	0
gene_209	12	0	10	2	7	1	0	26	9
gene_210	0	8	1	0	8	2	1	5	0
gene_211	32	79	59	3	7	13	8	8	18
gene_212	3589	6487	9208	2188	2006	1076	1250	2730	1472
gene_213	5	312	390	91	66	22	10	163	366
gene_214	12	4	6	2	5	5	7	10	0
gene_215	72	90	60	39	23	15	19	5	22
gene_216	280	509	419	84	116	175	113	95	90
gene_217	362	306	645	169	197	102	132	136	145
gene_218	96	119	104	36	24	24	27	19	25
gene_219	228	301	312	50	90	66	68	84	73
gene_220	83	176	177	21	29	34	45	20	38
gene_221	223	113	317	49	46	53	136	59	69
gene_222	84	20	3	2	2	7	2	5	4
gene_223	28	44	43	13	6	6	3	2	2
gene_224	2	3	0	1	2	1	0	0	0
gene_225	0	3	8	2	0	0	2	1	1
gene_226	100	84	16	13	1	12	8	11	0
gene_227	69	62	73	21	47	64	95	82	22
gene_228	99	26	128	51	23	27	41	18	48
gene_229	97	147	153	47	40	20	40	39	28
gene_230	40	15	4	2	2	4	0	1	2
gene_231	0	2	0	1	0	0	0	1	2
gene_232	247	268	272	58	62	74	52	67	54
gene_233	50	267	154	49	124	23	58	91	80
gene_234	0	203	73	54	0	1	3	28	0
gene_235	895	868	629	199	205	176	258	190	207
gene_236	439	326	333	88	87	112	113	116	94
gene_237	8	60	48	8	2	2	11	27	9
gene_238	10	7	4	0	2	0	5	6	1
gene_239	2120	1520	1517	519	704	582	327	542	910
gene_240	76	46	83	27	19	20	14	22	14
gene_241	9	2	3	3	6	1	0	1	0
gene_242	395	122	49	33	16	37	59	16	29
gene_243	57	101	123	7	15	7	19	19	19
gene_244	85	122	152	16	24	27	26	38	40
gene_245	82	85	44	18	13	15	15	10	14
gene_246	4	9	10	0	2	0	1	5	0
gene_247	1	5	3	4	1	21	0	13	2
gene_248	235	275	252	68	64	52	64	60	65
gene_249	52	18	41	6	5	15	12	49	14
gene_250	6	5	6	2	0	6	0	5	2
gene_251	149	189	130	41	46	56	41	51	45
gene_252	342	242	216	141	41	83	59	82	53
gene_253	5	13	1	1	1	1	2	2	1
gene_254	73	28	72	4	15	17	10	2	13
gene_255	30	24	31	10	13	8	13	7	10
gene_256	7	0	0	0	0	11	0	6	2
gene_257	53	8	91	7	10	46	18	31	33
gene_258	365	559	721	89	111	222	171	163	124
gene_259	26	93	118	7	8	7	13	14	17
gene_260	1053	526	730	238	120	257	181	203	211
gene_261	234	244	191	107	49	64	64	42	44
gene_262	17	59	1	13	0	1	4	1	11
gene_263	1	0	3	1	1	0	0	0	1
gene_264	61	91	70	13	23	13	24	25	17
gene_265	13	0	1	4	0	1	5	0	0
gene_266	170	55	146	18	20	21	26	21	29
gene_267	97	32	78	23	18	14	16	27	13
gene_268	28	31	79	20	7	11	7	2	3
gene_269	541	501	410	117	138	135	98	100	121
gene_270	281	445	366	77	87	103	84	119	93
gene_271	37	27	14	4	12	0	14	6	4
gene_272	250	287	247	105	48	69	61	61	65
gene_273	715	494	715	207	246	225	218	220	150
gene_274	225	542	260	60	12	93	62	90	333
gene_275	217	150	179	39	46	39	42	40	40
gene_276	2896	2056	2476	706	635	638	632	588	757
gene_277	0	8	0	0	2	1	0	0	1
gene_278	239	293	393	83	68	52	68	61	53
gene_279	58	29	54	8	5	17	10	14	10
gene_280	555	507	535	157	129	147	143	137	146
gene_281	10	25	27	8	7	3	10	11	7
gene_282	493	299	631	65	134	91	107	80	100
gene_283	23	41	67	8	7	5	5	11	8
gene_284	1648	1257	1214	138	81	336	168	201	58
gene_285	23	6	0	9	4	1	13	0	1
gene_286	14	16	15	1	2	9	4	6	4
gene_287	120	132	104	33	26	20	25	26	49
gene_288	1505	936	1259	266	248	318	192	300	300
gene_289	21	23	3	0	25	0	11	5	1
gene_290	8	148	29	2	4	0	2	12	6
gene_291	0	0	0	0	4	3	0	0	4
gene_292	657	605	503	114	90	111	174	110	149
gene_293	10	1	0	0	1	2	1	1	1
gene_294	1336	1280	1490	368	334	390	325	356	339
gene_295	143	141	143	51	35	41	37	41	42
gene_296	194	198	176	46	30	66	46	38	35
gene_297	533	500	552	109	160	126	128	118	135
gene_298	23	33	1	2	2	1	3	0	9
gene_299	57	26	6	16	13	3	20	0	35
gene_300	8	3	7	1	1	2	2	17	5
gene_301	1	0	1	0	0	0	1	0	0
gene_302	166	104	87	3	52	23	33	7	1
gene_303	290	259	293	68	115	60	39	33	42
gene_304	106	298	812	80	113	79	202	70	59
gene_305	2697	3224	3093	793	914	602	710	641	480
gene_306	198	147	238	35	57	43	37	58	59
gene_307	0	22	12	2	8	2	2	0	4
gene_308	4272	5015	4802	1839	909	2192	1397	1607	1198
gene_309	94	136	57	15	9	17	11	18	16
gene_310	32	33	52	3	15	2	8	3	10
gene_311	16	2	22	1	2	7	11	5	1
gene_312	539	451	358	81	180	106	52	121	123
gene_313	0	8	4	2	0	1	3	1	2
gene_314	0	0	0	1	0	0	0	5	20
gene_315	903	1202	463	188	187	211	192	200	202
gene_316	749	640	528	173	247	226	164	297	268
gene_317	2	0	9	0	0	0	0	1	0
gene_318	195	111	164	35	34	55	31	50	59
gene_319	39	20	61	12	4	8	2	7	8
gene_320	86	103	63	29	25	21	10	24	18
gene_321	69	56	61	53	9	18	29	21	12
gene_322	173	58	182	6	9	26	4	30	10
gene_323	0	10	9	2	12	3	96	8	91
gene_324	14	5	15	1	2	4	4	0	0
gene_325	44	15	11	0	8	3	15	2	12
gene_326	109	103	119	30	38	21	25	26	30
gene_327	1688	1926	2081	514	328	164	422	516	176
gene_328	28	8	3	4	5	2	4	0	1
gene_329	187	161	122	31	33	41	51	31	53
gene_330	155	41	76	6	12	4	5	8	5
gene_331	134	175	114	16	27	24	30	28	25
gene_332	232	256	253	67	58	66	56	68	65
gene_333	1	11	3	1	2	0	1	0	2
gene_334	13	0	39	0	5	5	5	3	6
gene_335	10	15	36	0	0	3	3	0	5
gene_336	5	4	10	1	2	0	1	2	0
gene_337	3	29	0	0	0	0	5	15	43
gene_338	88	108	58	24	11	12	9	23	17
gene_339	774	701	545	174	162	109	222	126	178
gene_340	4	9	19	2	4	0	4	2	3
gene_341	24	3	72	8	15	14	1	1	9
gene_342	958	1032	943	199	245	259	193	229	247
gene_343	449	22	13	4	41	2	0	14	47
gene_344	47	98	73	9	14	1	8	11	6
gene_345	86	28	118	137	10	10	2	4	83
gene_346	595	1691	905	400	533	84	49	22	178
gene_347	140	155	128	32	44	36	43	30	44
gene_348	4	24	1	4	6	0	0	1	4
gene_349	128	117	138	22	33	23	34	45	38
gene_350	6	0	15	9	0	0	3	0	8
gene_351	244	29	325	86	25	10	79	10	12
gene_352	248	109	98	20	37	23	23	13	37
gene_353	345	509	517	87	70	17	68	127	52
gene_354	173	135	171	42	35	31	42	42	37
gene_355	44	25	0	1	6	3	4	3	17
gene_356	442	183	114	60	55	117	108	148	42
gene_357	1772	1850	1684	438	424	367	386	428	427
gene_358	107	78	67	25	9	23	17	20	18
gene_359	99	107	193	50	26	35	34	27	46
gene_360	49	41	51	9	11	16	14	18	7
gene_361	567	680	604	216	127	103	192	111	141
gene_362	0	1	7	0	3	0	4	0	0
gene_363	0	12	2	0	0	0	0	0	0
gene_364	2	4	12	5	1	2	1	2	1
gene_365	24	20	15	0	6	0	3	4	0
gene_366	31	13	42	4	5	0	7	9	1
gene_367	91	192	122	32	26	19	29	29	37
gene_368	207	216	210	52	40	49	58	44	40
gene_369	2	0	6	1	0	0	0	0	2
gene_370	185	209	183	2	74	50	4	20	6
gene_371	43	34	33	6	8	6	10	7	2
gene_372	8	5	5	0	0	1	3	4	1
gene_373	22	11	7	1	3	7	3	1	11
gene_374	2	13	3	0	4	1	2	2	1
gene_375	2	123	152	5	19	4	20	18	19
gene_376	2	0	0	1	0	0	7	0	1
gene_377	918	877	955	232	231	229	245	243	226
gene_378	93	248	162	65	45	34	44	25	48
gene_379	3	9	34	4	3	0	4	1	0
gene_380	40	62	0	10	12	1	8	4	22
gene_381	85	8	47	18	10	23	10	4	6
gene_382	19	2	1	2	0	1	0	0	1
gene_383	57	21	31	1	14	6	2	11	5
gene_384	42	0	1	1	2	0	2	1	1
gene_385	354	344	228	77	75	59	68	90	122
gene_386	4	5	4	1	3	1	0	3	4
gene_387	329	383	261	72	72	95	103	103	91
gene_388	338	80	225	39	38	55	30	46	18
gene_389	147	102	174	50	50	13	1	32	64
gene_390	466	20	234	23	24	7	22	36	46
gene_391	128	124	101	26	44	29	46	40	30
gene_392	104	166	104	68	3	58	49	24	41
gene_393	102	97	139	62	26	32	22	28	22
gene_394	0	1	7	1	2	0	0	2	0
gene_395	454	569	375	81	113	129	80	54	240
gene_396	98	92	108	18	17	23	24	32	29
gene_397	1	2	36	14	12	3	9	12	3
gene_398	69	67	71	13	19	28	17	21	11
gene_399	72	67	16	12	13	22	24	9	24
gene_400	3	3	10	12	0	6	1	1	15
gene_401	1003	1466	1560	433	459	430	391	458	566
gene_402	47	31	22	4	9	3	5	11	13
gene_403	0	5	4	0	0	1	5	1	8
gene_404	188	171	183	45	33	18	32	47	33
gene_405	40	27	484	14	0	24	7	19	85
gene_406	18	14	20	2	47	9	14	0	2
gene_407	251	265	196	76	65	50	46	60	56
gene_408	42	26	8	7	3	7	5	15	22
gene_409	39	28	87	22	36	35	4	7	11
gene_410	21	20	0	3	1	4	0	9	3
gene_411	163	147	402	42	100	28	21	32	35
gene_412	520	460	441	141	144	132	137	131	121
gene_413	0	0	6	0	3	0	0	0	0
gene_414	0	3	0	3	0	3	2	3	0
gene_415	0	0	1	4	0	0	0	0	0
gene_416	120	166	114	30	41	42	34	54	66
gene_417	44	37	162	0	1	18	52	17	1
gene_418	635	265	567	65	77	45	197	172	21
gene_419	924	652	890	192	191	159	176	183	200
gene_420	94	85	81	25	20	19	9	9	29
gene_421	42	43	33	4	20	5	13	16	12
gene_422	75	86	101	9	13	34	20	62	12
gene_423	0	1	0	1	1	0	0	1	0
gene_424	3	2	0	2	2	0	4	6	0
gene_425	39	77	15	21	18	10	10	33	9
gene_426	6	33	6	0	0	21	3	3	3
gene_427	61	78	456	87	7	58	70	264	14
gene_428	15	10	16	5	7	13	4	0	7
gene_429	390	363	90	103	40	49	117	119	40
gene_430	8	13	75	3	6	6	12	4	18
gene_431	5	20	14	0	0	0	0	1	0
gene_432	42	22	1	0	1	5	1	0	3
gene_433	0	0	14	11	0	3	0	0	0
gene_434	10	1	4	1	0	0	0	0	1
gene_435	231	158	108	57	42	78	68	42	86
gene_436	1122	602	1277	568	256	325	227	518	302
gene_437	6	0	4	0	1	0	0	0	1
gene_438	7	13	5	1	5	10	2	6	2
gene_439	2	14	2	3	0	6	4	3	0
gene_440	543	574	606	112	187	163	167	116	159
gene_441	456	459	421	99	93	125	116	84	116
gene_442	54	177	77	57	11	17	7	24	42
gene_443	447	414	256	51	96	37	73	132	52
gene_444	394	364	388	201	70	153	52	130	79
gene_445	1	2	8	2	0	0	0	0	1
gene_446	20	87	1	0	0	2	2	4	8
gene_447	134	107	207	29	36	32	37	37	25
gene_448	211	183	425	82	14	144	129	89	164
gene_449	16	12	18	1	5	3	7	0	3
gene_450	3	1	5	1	0	3	1	0	2
gene_451	33	49	4	6	0	1	0	0	9
gene_452	13	18	9	0	4	9	0	0	0
gene_453	448	288	394	83	119	103	80	94	87
gene_454	2	4	4	1	0	6	0	2	1
gene_455	117	79	5	26	24	30	20	29	16
gene_456	0	1	1	0	1	0	0	2	2
gene_457	615	558	615	145	173	156	180	177	184
gene_458	4	6	2	2	1	0	2	1	4
gene_459	29	10	2	2	2	4	0	3	3
gene_460	4	13	5	14	24	0	4	3	3
gene_461	829	811	237	140	134	114	93	112	80
gene_462	45	43	34	5	4	13	12	9	7
gene_463	30	97	49	14	16	13	44	31	6
gene_464	55	12	8	12	1	0	3	16	5
gene_465	693	733	1399	95	99	81	151	162	148
gene_466	143	137	191	54	54	68	31	32	40
gene_467	253	238	301	52	43	61	71	75	94
gene_468	83	75	132	12	9	6	2	17	10
gene_469	41	63	79	16	11	16	17	14	5
gene_470	99	108	114	19	34	31	28	17	76
gene_471	40	43	34	13	11	9	6	15	14
gene_472	4	2	8	0	1	1	0	0	0
gene_473	137	122	85	11	21	15	10	41	17
gene_474	130	120	140	24	22	17	25	23	23
gene_475	168	112	193	48	45	41	36	35	25
gene_476	24	3	1	8	4	2	5	1	3
gene_477	0	2	14	0	10	0	1	0	0
gene_478	83	6	7	25	28	2	16	15	2
gene_479	12	10	41	3	2	1	30	3	1
gene_480	136	130	203	18	95	35	20	44	16
gene_481	4	2	0	0	1	1	0	3	0
gene_482	0	7	0	0	0	1	0	6	3
gene_483	20	14	10	8	15	5	10	1	7
gene_484	0	2	145	2	2	0	2	2	1
gene_485	435	328	225	73	107	73	44	113	84
gene_486	593	575	729	160	131	160	209	193	126
gene_487	37	0	55	4	32	2	8	7	0
gene_488	1	0	16	0	9	1	0	0	1
gene_489	15	27	21	6	7	0	6	2	7
gene_490	223	286	226	44	54	35	61	58	60
gene_491	9	6	1	0	0	3	1	0	2
gene_492	165	148	377	9	32	11	13	139	43
gene_493	348	218	568	223	82	159	135	118	114
gene_494	0	0	0	2	0	14	89	0	0
gene_495	168	44	81	12	17	8	19	8	6
gene_496	163	152	127	46	70	46	51	74	71
gene_497	311	207	146	71	85	93	59	48	47
gene_498	0	0	2	1	0	0	2	0	1
gene_499	329	282	243	85	94	72	88	55	78
gene_500	1756	937	592	140	237	216	218	328	297
gene_501	75	23	5	3	0	4	5	0	4
gene_502	30	19	14	8	7	6	5	6	7
gene_503	132	134	153	23	37	34	27	35	18
gene_504	120	125	128	34	25	28	25	37	25
gene_505	22	98	3	3	2	19	7	1	7
gene_506	0	8	0	0	0	2	0	1	0
gene_507	9	5	22	4	3	0	13	3	20
gene_508	43	0	2	0	7	11	1	1	0
gene_509	8859	8724	12840	2447	2032	2631	3139	1761	1583
gene_510	51	28	42	20	15	5	15	15	7
gene_511	11	21	9	6	0	3	10	22	3
gene_512	593	508	466	158	109	163	157	165	133
gene_513	58	88	81	24	12	13	5	2	36
gene_514	2	18	5	0	0	0	0	0	0
gene_515	3	1	0	0	0	0	0	0	0
gene_516	158	177	458	25	98	47	83	42	74
gene_517	5193	6954	6565	2069	2106	2898	2028	1665	1695
gene_518	271	127	141	46	29	36	40	34	35
gene_519	17	0	81	7	1	11	11	24	4
gene_520	981	1237	1083	151	279	188	158	222	151
gene_521	17	20	13	2	13	2	5	0	36
gene_522	369	491	339	103	129	73	114	63	142
gene_523	107	82	116	27	34	16	26	15	33
gene_524	479	184	528	55	39	80	37	40	29
gene_525	84	7	2	0	0	0	3	5	4
gene_526	4	8	0	1	0	0	0	18	0
gene_527	26	12	4	6	2	3	2	4	0
gene_528	27	33	29	9	10	3	7	6	6
gene_529	30	3	6	5	0	10	0	9	0
gene_530	508	708	433	181	216	142	170	153	197
gene_531	53	149	97	28	33	28	28	21	6
gene_532	623	624	676	180	289	126	114	206	331
gene_533	238	252	232	61	51	82	46	76	57
gene_534	4	10	1	0	0	0	0	0	7
gene_535	221	199	264	59	93	30	79	88	41
gene_536	47	72	33	13	10	23	41	6	53
gene_537	80	142	174	35	39	27	25	55	44
gene_538	48	0	20	3	1	0	1	0	3
gene_539	264	256	249	60	51	38	60	60	65
gene_540	0	1	0	0	0	0	4	2	0
gene_541	5	0	4	2	1	0	0	0	0
gene_542	421	493	514	85	101	79	63	104	67
gene_543	3	0	0	0	0	0	0	0	0
gene_544	59	53	91	26	25	25	27	18	17
gene_545	524	507	534	132	121	128	133	125	123
gene_546	19	2	8	1	18	2	3	2	6
gene_547	646	521	440	86	170	75	82	104	72
gene_548	126	98	93	84	39	12	41	22	49
gene_549	2	39	12	0	0	0	7	0	1
gene_550	238	257	83	33	47	39	72	69	40
gene_551	49	146	28	2	21	9	6	7	29
gene_552	570	340	537	102	134	103	118	127	106
gene_553	20	13	38	5	2	9	7	9	3
gene_554	1141	961	1052	206	241	163	196	209	127
gene_555	139	152	306	50	30	82	25	38	32
gene_556	1	2	13	0	0	2	1	1	0
gene_557	451	490	728	159	244	191	145	236	119
gene_558	1162	1073	1059	224	225	238	259	248	219
gene_559	122	91	65	35	22	30	27	17	9
gene_560	243	347	288	93	47	86	34	94	42
gene_561	51	62	41	7	13	25	19	18	9
gene_562	270	152	296	114	84	96	27	52	51
gene_563	56	81	73	23	12	11	14	24	25
gene_564	27	61	50	32	15	9	27	4	10
gene_565	2	11	1	4	0	0	0	1	4
gene_566	42	1	12	1	13	17	2	2	7
gene_567	0	7	0	1	2	0	3	6	1
gene_568	8	2	2	26	4	0	0	4	0
gene_569	6	6	3	5	1	1	4	2	0
gene_570	83	107	119	15	27	9	21	13	8
gene_571	8	113	32	4	9	1	0	23	0
gene_572	0	0	125	1	7	1	1	4	2
gene_573	432	314	417	69	129	91	100	102	72
gene_574	3	15	4	3	1	2	2	1	1
gene_575	215	140	231	40	56	88	46	84	59
gene_576	199	21	115	2	6	31	19	15	1
gene_577	39	46	44	52	38	52	5	7	9
gene_578	167	93	94	38	18	42	42	22	40
gene_579	97	144	21	22	8	33	7	9	13
gene_580	53	50	42	5	11	9	14	8	6
gene_581	24	54	100	15	26	4	10	13	17
gene_582	477	166	371	28	103	40	38	52	67
gene_583	52	274	207	29	5	9	43	37	17
gene_584	2	0	0	0	0	0	1	1	0
gene_585	137	128	119	9	29	32	34	64	36
gene_586	85	39	37	10	12	4	15	12	3
gene_587	77	82	80	29	13	17	18	15	24
gene_588	235	281	309	77	79	64	81	79	68
gene_589	245	325	497	103	89	77	107	153	85
gene_590	14	7	12	0	0	1	0	0	1
gene_591	7	3	0	4	2	0	0	6	1
gene_592	63	84	100	24	32	39	21	29	8
gene_593	48	14	42	23	1	6	6	11	0
gene_594	105	106	169	24	26	40	50	74	12
gene_595	75	17	28	5	7	7	9	4	7
gene_596	13	12	2	1	0	0	0	0	4
gene_597	0	0	10	2	0	3	0	1	1
gene_598	7	31	34	11	26	24	10	7	11
